Страна,год,Категория продуктов питания,Общее_количество_отходов_(тонн),Экономический ущерб (Млн долларов),Среднее количество отходов на душу населения (Кг),Численность населения (Млн),Бытовые отходы (%)
australia,2019,fruit vegetable,19268.63,18686.68,72.69,87.59,53.64
indonesia,2019,prepared food,3916.97,4394.48,192.52,1153.99,30.61
germany,2022,dairy product,9700.16,8909.16,166.94,1006.11,48.08
france,2023,fruit vegetable,46299.69,40551.22,120.19,953.05,31.91
france,2023,beverage,33096.57,36980.82,104.74,1105.47,36.06
india,2024,fruit vegetable,11962.89,11196.04,136.21,1311.91,37.09
germany,2024,prepared food,45038.72,39191.25,179.27,1349.45,68.93
china,2019,fruit vegetable,12791.2,12233.28,90.8,1229.29,59.9
uk,2019,meat seafood,14795.65,14346.97,128.91,450.33,59.01
india,2019,grain cereal,12118.32,13631.17,141.75,359.26,42.42
south africa,2024,frozen food,39478.7,40087.26,155.55,375.84,31.16
japan,2022,frozen food,41025.9,35437.9,49.95,1219.43,33.79
usa,2024,beverage,22924.85,22406.24,89.59,836.05,45.43
france,2018,beverage,29295.07,34102.25,46.64,1286.73,32.95
usa,2022,bakery item,32457.98,27905.84,46.77,865.6,46.46
usa,2021,meat seafood,43264.26,44777.94,41.81,665.18,48.22
brazil,2021,frozen food,23131.08,21882.67,50.79,853.06,49.78
saudi arabia,2020,prepared food,18483.82,21071.65,198.62,143.12,48.83
uk,2022,meat seafood,25829.56,20806.34,119.62,185.01,32.51
china,2018,prepared food,11314.08,10287.7,111.67,953.52,33.75
saudi arabia,2019,fruit vegetable,10653.37,8992.33,74.16,37.76,46.44
australia,2020,fruit vegetable,1322.82,1394.01,88.85,205.78,30.63
india,2023,meat seafood,33403.26,39125.38,137.6,1299.21,36.55
italy,2023,fruit vegetable,30875.29,31341.6,198.26,349.04,52.64
saudi arabia,2024,prepared food,33085.77,28923.13,37.71,552.45,38.96
germany,2018,beverage,12336.2,10077.91,38.86,689.21,36.92
brazil,2021,bakery item,5949.18,6656.14,35.46,698.43,61.48
france,2018,frozen food,17470.52,16267.24,73.76,855.4,60.11
spain,2021,fruit vegetable,41676.18,43058.29,135.22,1325.54,54.32
mexico,2018,meat seafood,20604.34,23257.47,31.88,412.45,67.53
argentina,2020,bakery item,49310.46,49520.57,21.69,983.97,55.47
indonesia,2024,frozen food,26812.66,28028.3,57.0,891.66,48.81
argentina,2022,bakery item,17868.63,20588.93,82.52,897.76,54.59
usa,2019,bakery item,13732.64,15129.94,156.84,618.88,38.14
saudi arabia,2019,beverage,29827.95,31970.55,102.81,1235.4,66.68
canada,2021,frozen food,28802.2,29584.64,190.42,687.81,33.73
south korea,2023,frozen food,29848.3,27362.18,47.82,1131.8,49.97
brazil,2024,grain cereal,39420.56,34541.01,65.63,513.73,56.49
brazil,2024,prepared food,37292.94,35268.41,80.6,619.76,57.0
japan,2020,beverage,44797.11,41233.8,64.74,1234.63,65.69
japan,2023,bakery item,40398.07,48103.94,177.95,367.79,32.26
russia,2020,dairy product,13679.64,14249.79,182.75,776.16,51.14
china,2024,frozen food,11766.79,11890.12,21.26,84.69,37.22
argentina,2021,meat seafood,24444.03,26615.82,123.83,303.78,60.73
russia,2019,bakery item,15476.91,13087.99,176.5,1335.8,36.7
saudi arabia,2018,frozen food,2751.15,2310.76,52.39,622.92,51.0
italy,2024,fruit vegetable,20238.65,18395.86,22.64,467.6,50.9
usa,2022,dairy product,8731.68,10040.12,63.83,543.41,42.96
uk,2023,grain cereal,23609.83,25520.57,152.21,272.87,66.14
south korea,2024,grain cereal,38427.68,31258.66,92.89,952.23,40.69
germany,2023,bakery item,33550.41,32946.48,193.85,1333.3,55.02
australia,2020,beverage,45243.85,37828.94,47.21,559.57,50.34
uk,2023,meat seafood,30022.09,24487.08,92.64,1278.03,54.63
argentina,2019,prepared food,49481.61,51126.24,95.46,1281.78,59.3
australia,2022,grain cereal,13313.78,13273.68,140.85,183.45,41.34
uk,2021,frozen food,33936.66,31082.9,24.93,1234.55,66.51
russia,2020,prepared food,26418.47,24820.06,85.69,1257.32,65.04
mexico,2021,frozen food,25204.06,22725.56,65.79,1196.99,60.76
japan,2022,prepared food,3891.45,4059.29,183.91,160.01,43.77
canada,2024,frozen food,29007.66,28622.38,34.53,1327.02,56.87
mexico,2021,meat seafood,32727.8,37447.1,100.48,261.12,39.04
italy,2023,dairy product,46189.14,42351.8,150.95,253.83,33.01
saudi arabia,2024,fruit vegetable,1104.56,1300.14,134.77,906.42,37.85
mexico,2021,prepared food,41701.22,42629.63,154.95,850.56,64.4
turkey,2022,prepared food,11484.88,10827.65,196.26,39.26,63.03
indonesia,2021,beverage,23043.63,22714.51,167.69,477.21,56.08
turkey,2024,frozen food,49640.44,43002.21,147.97,1199.99,66.46
japan,2019,frozen food,47373.71,50237.28,122.91,1333.29,56.63
china,2021,dairy product,16464.38,18670.32,37.64,1184.69,48.42
germany,2024,fruit vegetable,26111.99,21589.27,168.69,1172.25,50.31
turkey,2022,grain cereal,29147.18,33953.62,131.16,1317.63,44.8
saudi arabia,2023,dairy product,12894.18,13051.48,160.37,418.74,46.87
italy,2018,fruit vegetable,24353.78,26604.16,188.03,430.09,31.28
germany,2023,prepared food,46296.01,45513.35,53.07,754.61,34.16
indonesia,2023,prepared food,35998.11,32227.85,69.8,672.05,48.3
india,2024,bakery item,19940.67,16685.0,69.49,1246.79,54.64
mexico,2019,dairy product,20682.45,18331.22,75.79,789.69,66.86
india,2024,beverage,25894.46,23584.07,85.66,1317.81,64.46
japan,2024,grain cereal,6206.67,5227.1,109.03,1303.51,63.17
uk,2023,prepared food,6158.59,5344.53,52.96,271.03,39.15
south korea,2018,dairy product,2995.27,3247.61,47.23,592.16,49.19
indonesia,2018,frozen food,22227.76,24684.1,186.41,378.43,34.27
south korea,2021,grain cereal,37912.85,31508.32,147.55,1208.19,62.76
france,2023,prepared food,45216.87,53291.62,199.27,1258.49,66.59
saudi arabia,2020,meat seafood,6000.35,6335.63,119.75,936.97,47.09
china,2019,grain cereal,11699.76,13226.55,139.02,143.06,54.19
saudi arabia,2021,prepared food,34919.42,40964.21,196.62,343.21,35.32
uk,2023,beverage,37270.62,43998.68,148.18,459.9,41.16
spain,2018,beverage,30435.06,28495.47,131.24,876.44,39.94
canada,2021,beverage,29977.13,30214.94,92.79,330.05,46.49
indonesia,2024,meat seafood,41624.99,42883.64,88.01,674.31,45.05
france,2022,fruit vegetable,23626.74,24156.13,198.38,745.17,66.68
germany,2022,beverage,48456.51,42311.26,191.89,370.23,57.62
italy,2023,beverage,11714.16,10116.0,103.42,918.9,31.39
australia,2023,beverage,3628.5,4199.04,100.92,654.55,59.03
saudi arabia,2020,frozen food,5522.93,4526.35,179.95,425.27,32.98
uk,2019,frozen food,5222.79,5146.97,39.16,1388.73,60.69
india,2018,prepared food,24858.69,21034.4,156.15,1057.39,58.01
mexico,2018,meat seafood,49002.55,39733.88,69.3,1280.4,66.77
brazil,2022,fruit vegetable,37440.24,33827.9,94.17,953.06,45.73
brazil,2023,bakery item,30854.25,28373.57,115.04,747.57,51.99
italy,2024,meat seafood,46852.8,55386.73,139.02,24.51,62.87
saudi arabia,2022,meat seafood,11318.5,12341.11,64.35,1018.05,69.02
turkey,2021,beverage,40184.32,39105.55,152.14,377.45,54.3
japan,2023,fruit vegetable,2192.54,2459.51,181.4,705.89,58.22
argentina,2023,frozen food,27521.46,25452.38,176.44,1116.1,50.88
argentina,2021,grain cereal,33487.17,37702.25,86.33,1025.88,30.78
usa,2024,prepared food,35924.32,30004.9,192.56,1109.32,42.27
