Дата,Категория,Регион,Объем_потерь_кг
2020-08-31,Зерновые,Север,728.0
2024-02-29,Овощи,Юг,196.0
2018-06-30,Молочные продукты,Запад,748.0
2021-11-30,Фрукты,Восток,
2018-10-31,Зерновые,Восток,690.0
2020-09-30,Овощи,Восток,473.0
2024-11-30,Зерновые,Запад,404.0
2022-12-31,Фрукты,Восток,140.0
2021-01-31,Зерновые,Восток,115.0
2019-04-30,Зерновые,Восток,669.0
2018-11-30,Зерновые,Север,728.0
2023-08-31,Фрукты,Запад,925.0
2023-03-31,Фрукты,Юг,
2023-10-31,Зерновые,Восток,
2021-10-31,Мясо,Север,351.0
2022-11-30,Овощи,Юг,
2018-12-31,Молочные продукты,Запад,12354.0
2019-04-30,Зерновые,Юг,336.0
2022-06-30,Овощи,Восток,414.0
2020-07-31,Зерновые,Юг,314.0
2018-03-31,Зерновые,Юг,164.0
2024-04-30,Молочные продукты,Север,368.0
2018-06-30,Овощи,Восток,
2023-03-31,Мясо,Юг,
2018-05-31,Овощи,Север,461.0
2018-09-30,Мясо,Запад,265.0
2018-05-31,Мясо,Восток,614.0
2021-02-28,Мясо,Запад,958.0
2021-12-31,Фрукты,Юг,12352.0
2018-10-31,Овощи,Север,203.0
2023-11-30,Молочные продукты,Восток,225.0
2024-06-30,Овощи,Север,99.0
2023-05-31,Зерновые,Север,72.0
2019-11-30,Мясо,Юг,14217.0
2024-09-30,Зерновые,Запад,253.0
2018-07-31,Молочные продукты,Юг,
2022-04-30,Фрукты,Восток,
2023-11-30,Овощи,Север,722.0
2019-07-31,Мясо,Север,326.0
2019-04-30,Фрукты,Юг,77.0
2020-09-30,Мясо,Запад,
2021-05-31,Овощи,Запад,169.0
2018-04-30,Зерновые,Восток,564.0
2019-05-31,Мясо,Восток,105.0
2018-10-31,Молочные продукты,Север,
2023-06-30,Мясо,Восток,342.0
2018-09-30,Молочные продукты,Север,246.0
2023-03-31,Зерновые,Север,
2018-10-31,Фрукты,Север,306.0
2024-10-31,Молочные продукты,Запад,
2022-10-31,Фрукты,Запад,548.0
2022-05-31,Молочные продукты,Восток,
2022-11-30,Фрукты,Юг,
2021-05-31,Фрукты,Север,797.0
2023-05-31,Мясо,Север,202.0
2018-10-31,Мясо,Запад,823.0
2022-06-30,Мясо,Восток,820.0
2024-02-29,Молочные продукты,Восток,
2023-07-31,Зерновые,Юг,245.0
2019-04-30,Овощи,Юг,182.0
2021-05-31,Зерновые,Восток,324.0
2024-08-31,Зерновые,Восток,419.0
2022-07-31,Мясо,Север,825.0
2019-10-31,Зерновые,Юг,
2018-10-31,Зерновые,Юг,943.0
2021-01-31,Молочные продукты,Юг,531.0
2024-11-30,Фрукты,Восток,540.0
2024-06-30,Овощи,Запад,858.0
2022-01-31,Зерновые,Юг,558.0
2022-11-30,Овощи,Север,285.0
2021-12-31,Фрукты,Запад,236.0
2019-06-30,Фрукты,Север,
2018-08-31,Зерновые,Запад,265.0
2021-09-30,Зерновые,Запад,986.0
2023-07-31,Зерновые,Восток,473.0
2024-06-30,Мясо,Юг,63.0
2020-03-31,Фрукты,Север,64.0
2019-04-30,Мясо,Север,520.0
2019-06-30,Мясо,Запад,718.0
2019-07-31,Зерновые,Восток,
2018-05-31,Фрукты,Запад,684.0
2022-01-31,Зерновые,Юг,
2023-12-31,Фрукты,Север,232.0
2020-02-29,Фрукты,Юг,-77.0
2020-11-30,Овощи,Север,667.0
2024-10-31,Мясо,Запад,4.0
2018-11-30,Зерновые,Восток,840.0
2018-08-31,Зерновые,Запад,-9.0
2018-01-31,Молочные продукты,Восток,607.0
2021-05-31,Фрукты,Восток,998.0
2021-05-31,Овощи,Север,186.0
2023-05-31,Зерновые,Юг,803.0
2018-03-31,Мясо,Север,311.0
2023-02-28,Мясо,Восток,111.0
2022-11-30,Молочные продукты,Юг,954.0
2023-05-31,Молочные продукты,Юг,91.0
2022-06-30,Овощи,Запад,448.0
2021-12-31,Зерновые,Север,521.0
2022-05-31,Зерновые,Запад,
2018-01-31,Молочные продукты,Запад,498.0
2023-06-30,Фрукты,Запад,90.0
2019-05-31,Молочные продукты,Север,
2018-03-31,Фрукты,Юг,452.0
2022-03-31,Зерновые,Восток,919.0
2019-07-31,Молочные продукты,Восток,933.0
2022-02-28,Зерновые,Запад,925.0
2019-07-31,Молочные продукты,Восток,651.0
2024-04-30,Фрукты,Восток,
2020-10-31,Неправильная категория,Север,19333.0
2024-09-30,Мясо,Север,587.0
2020-05-31,Мясо,Запад,
2024-02-29,Фрукты,Север,
2021-08-31,Молочные продукты,Юг,-13.0
2022-06-30,Молочные продукты,Север,277.0
2021-06-30,Молочные продукты,Восток,
2023-09-30,Мясо,Запад,940.0
